"filename", "language", "XML", "JavaScript JSX", "JavaScript", "CSS", "JSON", "YAML", "Markdown", "TypeScript", "Docker", "HTML", "comment", "blank", "total"
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/LoginModal.css", "CSS", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 1, 24, 164
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/LoginModal.jsx", "JavaScript JSX", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 236
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/NavBar.css", "CSS", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 39, 223
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/NavBar.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/OAuthCallBack.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 29
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Sanctuary.css", "CSS", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 43, 301
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Sanctuary.jsx", "JavaScript JSX", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 202
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SignUpModal.css", "CSS", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 20, 135
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SignUpModal.jsx", "JavaScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 215
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SingleBoardDetail.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SingleBoardDetail.jsx", "JavaScript JSX", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 251
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/UserDetails.css", "CSS", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 22, 145
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/UserDetails.jsx", "JavaScript JSX", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 236
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/main.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
